filename,input_width,input_height,output_width,output_height,fps,frame_count,scale_factor,mean_psnr_db,input_size_mb,output_size_mb,output_path,status
BlowingBubbles_416x240_50_420.yuv,416,240,832,480,50,60,2,30.020728143056235,8.57,34.28,output/BlowingBubbles_416x240_50_420/BlowingBubbles_416x240_50_420_upscaled.yuv,Success
RaceHorses_416x240_30_420.yuv,416,240,832,480,30,60,2,31.773774592081704,8.57,34.28,output/RaceHorses_416x240_30_420/RaceHorses_416x240_30_420_upscaled.yuv,Success
BQMall_832x480_60_420.yuv,832,480,1664,960,60,60,2,29.090287113189696,34.28,137.11,output/BQMall_832x480_60_420/BQMall_832x480_60_420_upscaled.yuv,Success
BQSquare_416x240_60_420.yuv,416,240,832,480,60,60,2,24.39652264912923,8.57,34.28,output/BQSquare_416x240_60_420/BQSquare_416x240_60_420_upscaled.yuv,Success
BasketballPass_416x240_50_420.yuv,416,240,832,480,50,60,2,31.4674209912618,8.57,34.28,output/BasketballPass_416x240_50_420/BasketballPass_416x240_50_420_upscaled.yuv,Success
