filename,input_width,input_height,output_width,output_height,fps,frame_count,scale_factor,mean_psnr_db,input_size_mb,output_size_mb,output_path,status
BlowingBubbles_416x240_50_420.yuv,416,240,1664,960,50,60,4,26.175343894958495,8.57,137.11,output/BlowingBubbles_416x240_50_420/BlowingBubbles_416x240_50_420_upscaled.yuv,Success
RaceHorses_416x240_30_420.yuv,416,240,1664,960,30,60,4,26.231947135925292,8.57,137.11,output/RaceHorses_416x240_30_420/RaceHorses_416x240_30_420_upscaled.yuv,Success
BQMall_832x480_60_420.yuv,832,480,3328,1920,60,60,4,25.52051191329956,34.28,548.44,output/BQMall_832x480_60_420/BQMall_832x480_60_420_upscaled.yuv,Success
BQSquare_416x240_60_420.yuv,416,240,1664,960,60,60,4,20.53961435953776,8.57,137.11,output/BQSquare_416x240_60_420/BQSquare_416x240_60_420_upscaled.yuv,Success
BasketballPass_416x240_50_420.yuv,416,240,1664,960,50,60,4,27.40088062286377,8.57,137.11,output/BasketballPass_416x240_50_420/BasketballPass_416x240_50_420_upscaled.yuv,Success
